,url,id,ema,musical_type,mt_cf,mt_cf_voices,mt_cf_dur,mt_cf_mel,mt_sog,mt_sog_voices,mt_sog_dur,mt_sog_mel,mt_sog_ostinato,mt_sog_periodic,mt_csog,mt_csog_voices,mt_csog_dur,mt_csog_mel,mt_cd,mt_cd_voices,mt_fg,mt_fg_voices,mt_fg_int,mt_fg_tint,mt_fg_periodic,mt_fg_strict,mt_fg_flexed,mt_fg_sequential,mt_fg_inverted,mt_fg_retrograde,mt_pe,mt_pe_voices,mt_pe_int,mt_pe_tint,mt_pe_strict,mt_pe_flexed,mt_pe_flt,mt_pe_sequential,mt_pe_added,mt_pe_invertible,mt_id,mt_id_voices,mt_id_int,mt_id_tint,mt_id_strict,mt_id_flexed,mt_id_flt,mt_id_invertible,mt_nid,mt_nid_voices,mt_nid_int,mt_nid_tint,mt_nid_strict,mt_nid_flexed,mt_nid_flt,mt_nid_sequential,mt_nid_invertible,mt_hr,mt_hr_voices,mt_hr_simple,mt_hr_staggered,mt_hr_sequential,mt_hr_fauxbourdon,mt_cad,mt_cad_cantizans,mt_cad_tenorizans,mt_cad_type,mt_cad_tone,mt_cad_dtv,mt_cad_dti,mt_int,mt_int_voices,mt_int_p6,mt_int_p3,mt_int_c35,mt_int_c83,mt_int_c65,mt_fp,mt_fp_ir,mt_fp_range,mt_fp_comment,remarks,created,updated,curated,observer.url,observer.name,piece.url,piece.piece_id,piece.full_title,piece.mass
0,http://crimproject.org/data/observations/1/,1,"1-6/1,1,1-2,1-2,2,2/@1,@1-3,@1-3+@1,@1-3+@1-3,@1-3,@1",Fuga,False,,False,False,False,,False,False,False,False,False,,False,False,False,,True,"Superius
Contratenor",4-,B2,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,False,,False,False,False,False,False,,,,,,,False,,False,False,False,False,False,False,False,,,Makes up a longer ID,2017-06-19T19:22:54-04:00,2020-11-27T15:11:10.011852-05:00,True,http://crimproject.org/data/people/CRIM_Person_1012/,Ian Lorenz,http://crimproject.org/data/pieces/CRIM_Model_0011/,CRIM_Model_0011,Tota pulchra es,
1,http://crimproject.org/data/observations/2/,2,"1-6/1,1,1+3,1+3,3,3/@1-4,@1-3,@1-3+@1-4,@1-3+@1-3,@1-3,@1",Fuga,False,,False,False,False,,False,False,False,False,False,,False,False,False,,True,"[Tenor 1]
[Tenor 3]",4-,B2,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,False,,False,False,False,False,False,,,,,,,False,,False,False,False,False,False,False,False,,,Makes up longer ID,2017-06-19T19:22:54-04:00,2020-07-15T11:37:01.876533-04:00,True,http://crimproject.org/data/people/CRIM_Person_1012/,Ian Lorenz,http://crimproject.org/data/pieces/CRIM_Mass_0009_3/,CRIM_Mass_0009_3,Missa Tota pulchra es: Credo,CRIM_Mass_0009
2,http://crimproject.org/data/observations/3/,3,"5-9/1,1,1-2,2,2/@3,@1-4,@1-2+@4,@1-4,@1-2",Fuga,False,,False,False,False,,False,False,False,False,False,,False,False,False,,True,"Superius
Contratenor",8-,B2,False,False,True,False,False,False,False,,,,False,False,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,False,,False,False,False,False,False,,,,,,,False,,False,False,False,False,False,False,False,,,,2017-06-19T19:31:29-04:00,2020-08-02T16:14:06.430415-04:00,True,http://crimproject.org/data/people/CRIM_Person_1012/,Ian Lorenz,http://crimproject.org/data/pieces/CRIM_Model_0011/,CRIM_Model_0011,Tota pulchra es,
3,http://crimproject.org/data/observations/4/,4,"5-8/1,1+4,1+4,4/@3,@1-4+@4,@1+@1-3,@1",Fuga,False,,False,False,False,,False,False,False,False,False,,False,False,False,,True,"[Tenor 1]
[Bassus]",5-,B1,False,False,True,False,False,False,False,,,,False,False,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,False,,False,False,False,False,False,,,,,,,False,,False,False,False,False,False,False,False,,,,2017-06-19T19:31:29-04:00,2020-08-02T16:14:18.639826-04:00,True,http://crimproject.org/data/people/CRIM_Person_1012/,Ian Lorenz,http://crimproject.org/data/pieces/CRIM_Mass_0009_3/,CRIM_Mass_0009_3,Missa Tota pulchra es: Credo,CRIM_Mass_0009
4,http://crimproject.org/data/observations/5/,5,"5-9,14-18/1,1,1-2,1-2,1-2,3,3,3-4,3-4,3-4/@3,@1-4,@1-4+@4,@1-4+@1-4,@1-3+@1-2,@3,@1-4,@1-4+@4,@1-4+@1-4,@1-3+@1-2",Fuga,False,,False,False,False,,False,False,False,False,False,,False,False,False,,True,"Superius
Contratenor",8-,B2,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,False,,False,False,False,False,False,,,,,,,False,,False,False,False,False,False,False,False,,,,2017-06-19T20:36:44-04:00,2020-08-02T16:19:38.187899-04:00,True,http://crimproject.org/data/people/CRIM_Person_1010/,Drew Ivarson,http://crimproject.org/data/pieces/CRIM_Model_0011/,CRIM_Model_0011,Tota pulchra es,
5,http://crimproject.org/data/observations/6/,6,"9-12/3-4,2-4,2,2/@4+@1-4,@4+@1-4+@1-3,@1-3,@1",Periodic entry,False,,False,False,False,,False,False,False,False,False,,False,False,False,,False,,,,False,False,False,False,False,False,True,"[Bassus]
[Tenor 2]
[Tenor 3]",5+4+,B1,False,False,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,False,,False,False,False,False,False,,,,,,,False,,False,False,False,False,False,False,False,,,"Plus added entries follow the PEN in Tenor 1, Tenor 3 and Bassus",2017-06-19T20:36:44-04:00,2020-08-02T16:20:59.432528-04:00,True,http://crimproject.org/data/people/CRIM_Person_1010/,Drew Ivarson,http://crimproject.org/data/pieces/CRIM_Mass_0009_5/,CRIM_Mass_0009_5,Missa Tota pulchra es: Agnus Dei,CRIM_Mass_0009
6,http://crimproject.org/data/observations/7/,7,"5-9/1,1,1-2,2,2/@3,@1-4,@1-2+@4,@1-4,@1-2",Fuga,False,,False,False,False,,False,False,False,False,False,,False,False,False,,True,"Superius
Contratenor",8-,M9,False,True,False,False,False,False,False,,,,False,False,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,False,,False,False,False,False,False,,,,,,,False,,False,False,False,False,False,False,False,,,,2017-06-20T12:18:12-04:00,2019-06-26T17:55:17.044000-04:00,True,http://crimproject.org/data/people/CRIM_Person_1003/,David Fiala,http://crimproject.org/data/pieces/CRIM_Model_0011/,CRIM_Model_0011,Tota pulchra es,
7,http://crimproject.org/data/observations/8/,8,"5-10/1,1+4,1+4,1+4,1+4,4/@3,@1-4+@4,@1-4.5+@1-3,@1-4.5+@1-4,@1+@1-3,@1",Fuga,False,,False,False,False,,False,False,False,False,False,,False,False,False,,True,"[Tenor 1]
[Bassus]",5-,M5,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,False,,False,False,False,False,False,,,,,,,False,,False,False,False,False,False,False,False,,,,2017-06-20T12:18:12-04:00,2020-07-15T11:47:41.587807-04:00,True,http://crimproject.org/data/people/CRIM_Person_1003/,David Fiala,http://crimproject.org/data/pieces/CRIM_Mass_0009_3/,CRIM_Mass_0009_3,Missa Tota pulchra es: Credo,CRIM_Mass_0009
8,http://crimproject.org/data/observations/9/,9,"1-38/6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6/@1,@1,@1,@1-3,@1,@1,@all,@1-4,@1-3,@1-4,@1,@1-4,@1-3,@1-4,@1-3,@1,@1,@1,@1-3,@1,@1,@all,@1-4,@1-3,@1-4.5,@1,@1-4,@1-3,@1-4,@1-3,@1,@1,@1,@1-3,@1,@1,@1,@1",Soggetto,False,,False,False,True,Bassus,True,True,False,False,False,,False,False,False,,False,,,,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,False,,False,False,False,False,False,,,,,,,False,,False,False,False,False,False,False,False,,,,2017-06-20T13:13:54-04:00,2020-08-02T16:29:34.731704-04:00,True,http://crimproject.org/data/people/CRIM_Person_1015/,Anne Nautré,http://crimproject.org/data/pieces/CRIM_Model_0018/,CRIM_Model_0018,Baisez moy,
9,http://crimproject.org/data/observations/10/,10,"1-41/5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5/@1,@1,@1,@1-3,@1,@1,@all,@1-4,@1-3,@1-4.5,@1,@1-4,@1-3,@1-4.5,@1-3,@all,@all,@1-3,@1,@1,@1-3,@1,@1,@all,@1-4,@1-3,@1-4.5,@1,@1-4,@1-3,@1-4.5,@1-3,@all,@all,@1,@1,@1,@1-3,@1,@1,@1",Cantus firmus,True,Tenor[Primus],True,True,False,,False,False,False,False,False,,False,False,False,,False,,,,False,False,False,False,False,False,False,,,,False,False,False,False,False,False,False,,,,False,False,False,False,False,,,,False,False,False,False,False,False,,False,False,False,False,False,,,,,,,False,,False,False,False,False,False,False,False,,,La voix de ténor primus cite intégralement le bassus du modèle,2017-06-20T13:13:54-04:00,2019-06-26T17:55:17.039000-04:00,True,http://crimproject.org/data/people/CRIM_Person_1015/,Anne Nautré,http://crimproject.org/data/pieces/CRIM_Mass_0017_4/,CRIM_Mass_0017_4,Missa Baisez moy: Sanctus,CRIM_Mass_0017
